231.000,0.000,0.314,0.000,0.000,0.000,0.003,1.000,0.602,1.000,0.989,0.985,1.000,0.019,3.229,0.052,-1.301,-0.076,-0.038,-0.037,-0.082,-0.042,-0.004,-0.082,0.004,0.003,-0.061,-0.019,-0.053,-0.048,-0.050,1.065,1.829,-0.097,1.000,-0.040,-0.026,-0.000,0.905,0.007,0.007,0.060,0.944
232.000,0.001,0.111,0.000,0.000,0.000,0.001,1.000,0.929,1.000,0.975,0.925,0.988,0.033,7.840,0.024,-0.736,-0.096,-0.045,-0.009,-0.076,-0.048,-0.009,-0.089,0.000,0.035,-0.159,0.017,-0.060,-0.048,-0.050,1.034,1.717,-0.003,1.000,-0.047,-0.029,0.002,0.860,0.023,0.001,0.099,0.948
233.000,0.002,0.000,0.000,0.001,0.002,0.001,0.980,0.991,0.998,0.974,0.979,0.998,0.029,2.576,0.063,-1.453,-0.083,-0.039,-0.033,-0.071,-0.041,-0.007,-0.103,0.005,-0.001,-0.075,-0.026,-0.058,-0.047,-0.050,1.065,1.827,-0.095,1.000,-0.036,-0.041,0.001,0.903,-0.009,0.004,0.069,0.945
234.000,0.000,0.160,0.000,0.000,0.000,0.002,0.999,0.762,0.999,0.976,0.998,1.000,0.020,2.885,0.053,-1.375,-0.080,-0.040,-0.034,-0.072,-0.040,-0.007,-0.093,0.002,0.014,-0.088,-0.026,-0.053,-0.048,-0.050,1.065,1.827,-0.095,1.000,-0.040,-0.041,-0.000,0.904,-0.009,0.004,0.065,0.944
235.000,0.002,0.027,0.000,0.000,0.000,0.007,0.979,0.966,1.000,0.963,0.995,0.940,0.022,2.383,0.057,-1.293,-0.079,-0.043,-0.030,-0.076,-0.047,-0.011,-0.096,0.001,0.017,-0.127,-0.013,-0.058,-0.044,-0.050,1.065,1.827,-0.095,1.000,-0.037,-0.042,-0.000,0.903,-0.007,0.003,0.071,0.944
236.000,0.000,0.298,0.000,0.000,0.000,0.004,1.000,0.609,1.000,0.986,0.991,1.000,0.019,3.313,0.056,-1.344,-0.085,-0.034,-0.035,-0.082,-0.040,-0.005,-0.085,0.003,0.003,-0.077,-0.017,-0.054,-0.048,-0.050,1.005,1.637,0.045,1.000,-0.044,-0.009,0.016,0.880,-0.006,-0.006,0.077,0.949
237.000,0.002,0.013,0.001,0.001,0.000,0.000,0.998,0.999,1.000,0.973,0.989,0.982,0.024,2.460,0.058,-1.238,-0.095,-0.037,-0.028,-0.099,-0.045,-0.009,-0.100,-0.001,-0.007,-0.090,-0.008,-0.055,-0.046,-0.050,1.047,1.755,-0.031,1.000,-0.050,-0.015,0.010,0.858,0.027,-0.008,0.094,0.947
238.000,0.002,0.003,0.001,0.001,0.001,0.000,0.992,0.996,1.000,0.986,1.000,0.995,0.025,2.760,0.060,-1.232,-0.079,-0.030,-0.026,-0.118,-0.043,-0.011,-0.102,-0.000,-0.001,-0.083,-0.018,-0.053,-0.049,-0.050,1.046,1.752,-0.031,1.000,-0.052,-0.012,0.011,0.855,0.031,-0.007,0.094,0.947
239.000,0.001,0.037,0.001,0.001,0.000,0.001,1.000,0.942,1.000,0.970,0.998,0.973,0.025,2.947,0.050,-0.999,-0.086,-0.040,-0.026,-0.095,-0.047,-0.011,-0.094,-0.001,0.029,-0.132,-0.004,-0.057,-0.048,-0.050,1.066,1.828,-0.095,1.000,-0.036,-0.042,0.002,0.903,-0.006,0.001,0.074,0.944
240.000,0.001,0.021,0.000,0.001,0.000,0.000,0.990,0.987,1.000,0.930,0.988,0.979,0.024,2.795,0.059,-1.038,-0.086,-0.038,-0.028,-0.087,-0.042,-0.010,-0.104,-0.008,0.001,-0.079,-0.010,-0.053,-0.049,-0.050,1.066,1.828,-0.096,1.000,-0.038,-0.041,0.001,0.903,-0.005,0.002,0.069,0.944
