231.0,232.0,-0.116,-0.288,0.01,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.01,0.049,0.104
231.0,233.0,-0.115,-0.287,0.011,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.01,0.049,0.104
231.0,234.0,-0.115,-0.287,0.011,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.009,0.049,0.103
231.0,235.0,-0.114,-0.287,0.012,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.008,0.049,0.103
231.0,236.0,-0.114,-0.287,0.012,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.007,0.049,0.103
231.0,237.0,-0.114,-0.287,0.012,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.007,0.049,0.103
231.0,238.0,-0.114,-0.287,0.012,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.006,0.049,0.102
231.0,239.0,-0.114,-0.287,0.012,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.006,0.05,0.102
231.0,240.0,-0.114,-0.287,0.012,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.005,0.05,0.102
231.0,241.0,-0.114,-0.287,0.012,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.005,0.05,0.102
231.0,242.0,-0.114,-0.287,0.012,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.004,0.05,0.102
231.0,243.0,-0.114,-0.287,0.012,0.125,0.626,0.054,-0.041,0.009,0.095,-0.049,0.009,0.118,-0.028,-0.063,0.034,-0.004,0.05,0.101
232.0,233.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.07,-0.055,0.2,-0.05,-0.096,-0.052,-0.053,0.099,-0.091
232.0,234.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.07,-0.055,0.2,-0.05,-0.096,-0.052,-0.053,0.099,-0.091
232.0,235.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.07,-0.055,0.201,-0.05,-0.096,-0.052,-0.054,0.099,-0.091
232.0,236.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.069,-0.054,0.201,-0.05,-0.096,-0.052,-0.054,0.1,-0.09
232.0,237.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.069,-0.054,0.201,-0.05,-0.096,-0.051,-0.054,0.1,-0.09
232.0,238.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.069,-0.054,0.201,-0.05,-0.096,-0.051,-0.054,0.1,-0.09
232.0,239.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.069,-0.054,0.201,-0.05,-0.096,-0.051,-0.054,0.1,-0.09
232.0,240.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.068,-0.053,0.201,-0.05,-0.096,-0.051,-0.054,0.1,-0.09
232.0,241.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.068,-0.053,0.201,-0.05,-0.096,-0.051,-0.054,0.1,-0.09
232.0,242.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.068,-0.053,0.201,-0.05,-0.096,-0.051,-0.055,0.101,-0.089
232.0,243.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.068,-0.053,0.202,-0.05,-0.096,-0.051,-0.055,0.101,-0.089
232.0,244.0,0.079,0.018,0.021,0.009,-0.033,0.153,0.027,0.042,0.084,0.068,-0.053,0.202,-0.05,-0.096,-0.051,-0.055,0.101,-0.089
233.0,234.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,235.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,236.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,237.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,238.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,239.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,240.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,241.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,242.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,243.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,244.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
233.0,245.0,0.026,-0.074,0.051,-0.136,0.348,-0.037,-0.086,0.108,0.137,0.1,0.005,-0.002,0.024,0.119,-0.038,-0.059,-0.019,-0.089
234.0,235.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.082,0.139,0.006,0.033,0.017,-0.047
234.0,236.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
234.0,237.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
234.0,238.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
234.0,239.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
234.0,240.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
234.0,241.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
234.0,242.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
234.0,243.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
234.0,244.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
234.0,245.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
234.0,246.0,-0.022,-1.186,0.072,0.024,-0.121,-0.025,0.113,0.011,-0.055,-0.055,0.203,-0.061,-0.081,0.139,0.006,0.033,0.017,-0.047
235.0,236.0,0.105,-0.007,0.031,0.247,0.661,0.842,-0.049,-0.116,1.09,0.062,-0.111,0.267,-0.048,-0.195,-0.095,-0.228,0.12,-0.052
235.0,237.0,0.105,-0.007,0.031,0.247,0.661,0.842,-0.049,-0.116,1.09,0.062,-0.111,0.267,-0.048,-0.195,-0.095,-0.228,0.12,-0.052
235.0,238.0,0.105,-0.007,0.031,0.247,0.661,0.842,-0.049,-0.116,1.09,0.062,-0.111,0.267,-0.048,-0.195,-0.095,-0.228,0.12,-0.052
235.0,239.0,0.105,-0.007,0.031,0.247,0.661,0.842,-0.049,-0.116,1.09,0.062,-0.111,0.267,-0.048,-0.195,-0.095,-0.228,0.12,-0.052
235.0,240.0,0.105,-0.007,0.031,0.247,0.661,0.842,-0.049,-0.116,1.09,0.062,-0.111,0.267,-0.048,-0.195,-0.095,-0.228,0.12,-0.052
235.0,241.0,0.105,-0.007,0.031,0.247,0.661,0.842,-0.049,-0.116,1.09,0.062,-0.111,0.267,-0.048,-0.195,-0.095,-0.228,0.12,-0.052
235.0,242.0,0.105,-0.007,0.031,0.247,0.661,0.842,-0.049,-0.116,1.09,0.062,-0.111,0.267,-0.048,-0.195,-0.095,-0.228,0.12,-0.052
